run_id,job,runner_labels,job_s,step,step_s
36083422387,test windows-11-arm,windows-11-arm,225.0,Install DuckDB CLI (Windows),2.0
36083422387,test windows-11-arm,windows-11-arm,225.0,Verify DuckDB,1.0
36083422387,test windows-11-arm,windows-11-arm,225.0,Test,200.0
36083422387,test windows-11-arm,windows-11-arm,225.0,Doc tests,1.0
36083422387,test windows-11-arm,windows-11-arm,225.0,Post Run actions/checkout@v7,5.0
36083422387,test windows-11-arm,windows-11-arm,225.0,Complete job,0.0
36083422387,test windows-latest,windows-latest,246.0,Set up job,1.0
36083422387,test windows-latest,windows-latest,246.0,Run actions/checkout@v7,10.0
36083422387,test windows-latest,windows-latest,246.0,Install Rust,5.0
36083422387,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Unix),0.0
36083422387,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Windows),2.0
36083422387,test windows-latest,windows-latest,246.0,Verify DuckDB,0.0
36083422387,test windows-latest,windows-latest,246.0,Test,221.0
36083422387,test windows-latest,windows-latest,246.0,Doc tests,1.0
36083422387,test windows-latest,windows-latest,246.0,Post Run actions/checkout@v7,3.0
36083422387,test windows-latest,windows-latest,246.0,Complete job,0.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Set up job,0.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Run actions/checkout@v7,1.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Install Rust + components,9.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Format,1.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Clippy,16.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Package (locked),9.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Post Run actions/checkout@v7,1.0
36083422387,lint (ubuntu),ubuntu-latest,39.0,Complete job,0.0
36083422387,test macos-latest,macos-latest,136.0,Set up job,0.0
36083422387,test macos-latest,macos-latest,136.0,Run actions/checkout@v7,2.0
36083422387,test macos-latest,macos-latest,136.0,Install Rust,1.0
36083422387,test macos-latest,macos-latest,136.0,Install DuckDB CLI (Unix),2.0
36083422387,test macos-latest,macos-latest,136.0,Install DuckDB CLI (Windows),0.0
36083422387,test macos-latest,macos-latest,136.0,Verify DuckDB,0.0
36083422387,test macos-latest,macos-latest,136.0,Test,127.0
36083422387,test macos-latest,macos-latest,136.0,Doc tests,1.0
36083422387,test macos-latest,macos-latest,136.0,Post Run actions/checkout@v7,1.0
36083422387,test macos-latest,macos-latest,136.0,Complete job,0.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Set up job,1.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Run actions/checkout@v7,1.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Install Rust,1.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Install DuckDB CLI (Unix),1.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Install DuckDB CLI (Windows),0.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Verify DuckDB,0.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Test,226.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Doc tests,0.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Post Run actions/checkout@v7,1.0
36083422387,test ubuntu-latest,ubuntu-latest,232.0,Complete job,0.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Set up job,1.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Run actions/checkout@v7,1.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Install Rust + components,8.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Format,0.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Clippy,16.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Package (locked),10.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Post Run actions/checkout@v7,1.0
36081942703,lint (ubuntu),ubuntu-latest,38.0,Complete job,0.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Set up job,0.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Run actions/checkout@v7,9.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Install Rust,6.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Install DuckDB CLI (Unix),0.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Install DuckDB CLI (Windows),1.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Verify DuckDB,1.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Test,208.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Doc tests,1.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Post Run actions/checkout@v7,4.0
36081942703,test windows-11-arm,windows-11-arm,233.0,Complete job,1.0
36081942703,test windows-latest,windows-latest,246.0,Set up job,0.0
36081942703,test windows-latest,windows-latest,246.0,Run actions/checkout@v7,6.0
36081942703,test windows-latest,windows-latest,246.0,Install Rust,4.0
36081942703,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Unix),0.0
36081942703,test windows-latest,windows-latest,246.0,Install DuckDB CLI (Windows),1.0
36081942703,test windows-latest,windows-latest,246.0,Verify DuckDB,1.0
36081942703,test windows-latest,windows-latest,246.0,Test,228.0
36081942703,test windows-latest,windows-latest,246.0,Doc tests,1.0
36081942703,test windows-latest,windows-latest,246.0,Post Run actions/checkout@v7,3.0
36081942703,test windows-latest,windows-latest,246.0,Complete job,0.0
36081942703,test macos-latest,macos-latest,135.0,Set up job,1.0
36081942703,test macos-latest,macos-latest,135.0,Run actions/checkout@v7,2.0
36081942703,test macos-latest,macos-latest,135.0,Install Rust,0.0
36081942703,test macos-latest,macos-latest,135.0,Install DuckDB CLI (Unix),2.0
36081942703,test macos-latest,macos-latest,135.0,Install DuckDB CLI (Windows),0.0
36081942703,test macos-latest,macos-latest,135.0,Verify DuckDB,0.0
36081942703,test macos-latest,macos-latest,135.0,Test,125.0
36081942703,test macos-latest,macos-latest,135.0,Doc tests,2.0
36081942703,test macos-latest,macos-latest,135.0,Post Run actions/checkout@v7,0.0
